Уровень,Дата и время,Источник,Код события,Категория задачи
Сведения,24.11.2019 23:32:56,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.XboxApp_48.59.13001.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения,24.11.2019 23:32:33,Microsoft-Windows-WindowsUpdateClient,44,Агент Центра обновления Windows,Центр обновления Windows начал скачивать обновление.
Сведения,24.11.2019 23:32:33,Microsoft-Windows-WindowsUpdateClient,44,Агент Центра обновления Windows,Центр обновления Windows начал скачивать обновление.
Сведения,24.11.2019 23:32:33,Microsoft-Windows-WindowsUpdateClient,44,Агент Центра обновления Windows,Центр обновления Windows начал скачивать обновление.
Сведения,24.11.2019 23:31:29,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎23T10:03:15.773973700Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎24T20:31:28.577650400Z

Источник выхода: Нет данных"
Предупреждение,24.11.2019 23:31:29,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,24.11.2019 23:31:27,Microsoft-Windows-Kernel-Boot,27,(33),Использовался следующий тип загрузки: 0x2.
Сведения,24.11.2019 23:31:27,Microsoft-Windows-Kernel-Boot,25,(32),Использовалась следующая политика меню загрузки: 0xB6B48000.
Сведения,24.11.2019 23:31:27,Microsoft-Windows-Kernel-Boot,32,(58),Диспетчер загрузки затратил 0 мс на ожидание ввода данных пользователем.
Сведения,24.11.2019 23:31:27,Microsoft-Windows-Kernel-Boot,18,(57),Число вариантов загрузки данной системы: 0x1.
Сведения,24.11.2019 23:31:27,Microsoft-Windows-Kernel-Boot,30,(21),Встроенное ПО сообщило метрики загрузки.
Сведения,24.11.2019 23:31:26,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎23T10:03:24.453749200Z на ‎2019‎-‎11‎-‎24T20:31:26.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,23.11.2019 13:03:24,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,24.11.2019 23:31:27,EventLog,6013,Отсутствует,Время работоспособного состояния 925630 сек.
Предупреждение,23.11.2019 13:03:16,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,23.11.2019 13:03:16,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎23T10:03:15.773973700Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎23T10:03:15.773973700Z

Источник выхода: S4: переход в режим гибернации"
Сведения,23.11.2019 13:03:16,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Hibernate from Sleep - Fixed Timeout"
Сведения,23.11.2019 13:03:14,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,23.11.2019 13:03:14,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 1, FullResume: 469, AverageResume: 469"
Сведения,23.11.2019 13:03:14,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎23T07:03:16.322202200Z на ‎2019‎-‎11‎-‎23T10:03:14.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,23.11.2019 10:03:16,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,23.11.2019 13:03:14,EventLog,6013,Отсутствует,Время работоспособного состояния 801537 сек.
Сведения,23.11.2019 10:03:14,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,23.11.2019 9:51:48,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\Users\nickk\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 20; создано измененных страниц: 2.
Предупреждение,23.11.2019 9:42:05,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Предупреждение,23.11.2019 9:41:48,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени ip-info.ff.avast.com истекло после отсутствия ответа от настроенных серверов DNS.
Сведения,23.11.2019 9:41:43,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎22T23:56:32.814303900Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎23T06:41:42.359355400Z

Источник выхода: Нет данных"
Предупреждение,23.11.2019 9:41:42,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,23.11.2019 9:41:41,Microsoft-Windows-Kernel-Boot,27,(33),Использовался следующий тип загрузки: 0x2.
Сведения,23.11.2019 9:41:41,Microsoft-Windows-Kernel-Boot,25,(32),Использовалась следующая политика меню загрузки: 0xB6B48000.
Сведения,23.11.2019 9:41:41,Microsoft-Windows-Kernel-Boot,32,(58),Диспетчер загрузки затратил 0 мс на ожидание ввода данных пользователем.
Сведения,23.11.2019 9:41:41,Microsoft-Windows-Kernel-Boot,18,(57),Число вариантов загрузки данной системы: 0x1.
Сведения,23.11.2019 9:41:41,Microsoft-Windows-Kernel-Boot,30,(21),Встроенное ПО сообщило метрики загрузки.
Сведения,23.11.2019 9:41:40,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎22T23:56:35.508299200Z на ‎2019‎-‎11‎-‎23T06:41:40.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,23.11.2019 2:56:35,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,23.11.2019 2:56:33,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎22T23:56:32.814303900Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎22T23:56:32.803513600Z

Источник выхода: S4: переход в режим гибернации"
Сведения,23.11.2019 2:56:33,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Hibernate from Sleep - Fixed Timeout"
Сведения,23.11.2019 2:56:31,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,23.11.2019 2:56:31,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 2, FullResume: 468, AverageResume: 469"
Сведения,23.11.2019 2:56:31,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎22T20:56:36.802693000Z на ‎2019‎-‎11‎-‎22T23:56:31.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,22.11.2019 23:56:36,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,22.11.2019 23:56:31,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎22T20:56:30.829116500Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎22T20:56:30.827093000Z

Источник выхода: Таймер - Будет выполнено назначенное задание ""NT TASK\Microsoft\Windows\UpdateOrchestrator\Universal Orchestrator Start"", запросившее вывод компьютера из спящего режима."
Сведения,22.11.2019 23:56:31,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,22.11.2019 23:56:29,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,22.11.2019 23:56:29,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 1, FullResume: 469, AverageResume: 469"
Сведения,22.11.2019 23:56:29,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎22T20:19:49.418208600Z на ‎2019‎-‎11‎-‎22T20:56:29.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,22.11.2019 23:19:49,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,22.11.2019 23:19:47,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Предупреждение,22.11.2019 23:03:39,Microsoft-Windows-WLAN-AutoConfig,4003,Отсутствует,"Служба автонастройки WLAN обнаружила ограниченные возможности подключения, выполняется попытка автоматического восстановления.

Тип восстановления: 4
Код ошибки: 0x0
Причина активации: 3
Семейство IP: 0
"
Сведения,22.11.2019 22:47:28,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\Users\nickk\AppData\Local\Packages\Microsoft.OneConnect_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 3; создано измененных страниц: 1.
Сведения,22.11.2019 22:46:42,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎22T08:56:20.085592000Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎22T19:46:41.389020000Z

Источник выхода: Нет данных"
Предупреждение,22.11.2019 22:46:41,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени client.dropbox.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,22.11.2019 22:46:41,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,22.11.2019 22:46:40,Microsoft-Windows-Kernel-Boot,27,(33),Использовался следующий тип загрузки: 0x2.
Сведения,22.11.2019 22:46:40,Microsoft-Windows-Kernel-Boot,25,(32),Использовалась следующая политика меню загрузки: 0xB6B48000.
Сведения,22.11.2019 22:46:40,Microsoft-Windows-Kernel-Boot,32,(58),Диспетчер загрузки затратил 0 мс на ожидание ввода данных пользователем.
Сведения,22.11.2019 22:46:40,Microsoft-Windows-Kernel-Boot,18,(57),Число вариантов загрузки данной системы: 0x1.
Сведения,22.11.2019 22:46:40,Microsoft-Windows-Kernel-Boot,30,(21),Встроенное ПО сообщило метрики загрузки.
Сведения,22.11.2019 22:46:39,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎22T08:56:26.273313800Z на ‎2019‎-‎11‎-‎22T19:46:39.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,22.11.2019 11:56:26,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,22.11.2019 22:46:39,EventLog,6013,Отсутствует,Время работоспособного состояния 750143 сек.
Сведения,22.11.2019 11:56:21,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎22T08:56:20.085592000Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎22T08:56:20.081563700Z

Источник выхода: S4: переход в режим гибернации"
Сведения,22.11.2019 11:56:20,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Hibernate from Sleep - Fixed Timeout"
Предупреждение,22.11.2019 11:56:20,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,22.11.2019 11:56:18,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,22.11.2019 11:56:18,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 2, FullResume: 468, AverageResume: 469"
Сведения,22.11.2019 11:56:18,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎22T05:56:20.681515700Z на ‎2019‎-‎11‎-‎22T08:56:18.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,22.11.2019 8:56:20,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,22.11.2019 8:56:18,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,22.11.2019 8:56:10,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎22T05:55:58.588524000Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎22T05:56:09.843507600Z

Источник выхода: Кнопка питания"
Сведения,22.11.2019 8:56:08,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,22.11.2019 8:56:08,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 1, FullResume: 469, AverageResume: 469"
Сведения,22.11.2019 8:56:08,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎22T05:56:06.209508800Z на ‎2019‎-‎11‎-‎22T05:56:08.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,22.11.2019 8:56:06,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,22.11.2019 8:56:04,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,22.11.2019 8:26:50,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-2395274981-4090271684-2922072255-1001\SystemAppData\Helium\UserClasses.dat очищен; обновлено разделов: 1; создано измененных страниц: 1.
Сведения,22.11.2019 8:26:50,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-2395274981-4090271684-2922072255-1001\SystemAppData\Helium\User.dat очищен; обновлено разделов: 1; создано измененных страниц: 1.
Сведения,22.11.2019 8:26:50,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\Users\nickk\AppData\Local\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 3; создано измененных страниц: 1.
Предупреждение,22.11.2019 8:26:09,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени web.whatsapp.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,22.11.2019 8:23:19,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени api.sec-tunnel.com истекло после отсутствия ответа от настроенных серверов DNS.
Сведения,22.11.2019 8:23:10,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD очищен; обновлено разделов: 81; создано измененных страниц: 8.
Предупреждение,22.11.2019 8:23:06,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,22.11.2019 8:23:03,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎19T00:28:07.100340500Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎22T05:23:02.718418100Z

Источник выхода: Нет данных"
Сведения,22.11.2019 8:23:02,Microsoft-Windows-Kernel-Boot,27,(33),Использовался следующий тип загрузки: 0x2.
Сведения,22.11.2019 8:23:02,Microsoft-Windows-Kernel-Boot,25,(32),Использовалась следующая политика меню загрузки: 0xB6B48000.
Сведения,22.11.2019 8:23:02,Microsoft-Windows-Kernel-Boot,32,(58),Диспетчер загрузки затратил 0 мс на ожидание ввода данных пользователем.
Сведения,22.11.2019 8:23:02,Microsoft-Windows-Kernel-Boot,18,(57),Число вариантов загрузки данной системы: 0x1.
Сведения,22.11.2019 8:23:02,Microsoft-Windows-Kernel-Boot,30,(21),Встроенное ПО сообщило метрики загрузки.
Сведения,22.11.2019 8:23:02,Microsoft-Windows-Kernel-Power,105,(100),Смена источника питания.
Сведения,22.11.2019 8:23:00,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎19T00:28:39.135960400Z на ‎2019‎-‎11‎-‎22T05:23:00.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,19.11.2019 3:28:39,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,22.11.2019 8:23:01,EventLog,6013,Отсутствует,Время работоспособного состояния 698324 сек.
Сведения,19.11.2019 3:28:32,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Hibernate from Sleep - Fixed Timeout"
Сведения,19.11.2019 3:28:09,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎19T00:28:07.100340500Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎19T00:28:07.094336300Z

Источник выхода: S4: переход в режим гибернации"
Сведения,19.11.2019 3:28:02,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,19.11.2019 3:28:02,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 8, FullResume: 783, AverageResume: 665"
Сведения,19.11.2019 3:28:00,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎18T21:28:02.643759200Z на ‎2019‎-‎11‎-‎19T00:28:00.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,19.11.2019 0:28:02,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,19.11.2019 0:28:00,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: System Idle"
Предупреждение,19.11.2019 0:22:34,Microsoft-Windows-WLAN-AutoConfig,4003,Отсутствует,"Служба автонастройки WLAN обнаружила ограниченные возможности подключения, выполняется попытка автоматического восстановления.

Тип восстановления: 4
Код ошибки: 0x0
Причина активации: 3
Семейство IP: 0
"
Предупреждение,19.11.2019 0:21:31,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени emupdate.avcdn.net истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,19.11.2019 0:21:23,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени client.dropbox.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,19.11.2019 0:19:28,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени wi2geo.mobile.yandex.net истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,19.11.2019 0:19:16,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени login.live.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,19.11.2019 0:18:44,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,19.11.2019 0:18:37,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎18T21:07:46.267824000Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎18T21:18:35.361668800Z

Источник выхода: Таймер - Будет выполнено назначенное задание ""NT TASK\Microsoft\Windows\UpdateOrchestrator\Universal Orchestrator Start"", запросившее вывод компьютера из спящего режима."
Сведения,19.11.2019 0:18:32,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,19.11.2019 0:18:32,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 7, FullResume: 783, AverageResume: 648"
Сведения,19.11.2019 0:18:29,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎18T21:07:56.360094100Z на ‎2019‎-‎11‎-‎18T21:18:29.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,19.11.2019 0:07:56,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,19.11.2019 0:07:53,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,19.11.2019 0:07:49,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎18T21:07:46.267824000Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎18T21:07:46.263824500Z

Источник выхода: S4: переход в режим гибернации"
Предупреждение,19.11.2019 0:07:49,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени kv501.prod.do.dsp.mp.microsoft.com истекло после отсутствия ответа от настроенных серверов DNS.
Сведения,19.11.2019 0:07:42,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,19.11.2019 0:07:42,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 6, FullResume: 783, AverageResume: 626"
Сведения,19.11.2019 0:07:40,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎18T18:07:46.897337100Z на ‎2019‎-‎11‎-‎18T21:07:40.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,18.11.2019 21:07:46,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,18.11.2019 21:07:39,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Предупреждение,18.11.2019 21:07:32,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени client.wns.windows.com истекло после отсутствия ответа от настроенных серверов DNS.
Сведения,18.11.2019 21:07:30,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎11‎-‎18T18:07:28.883787900Z
Время выхода из спящего режима: ‎2019‎-‎11‎-‎18T18:07:28.879786500Z

Источник выхода: S4: переход в режим гибернации"
Сведения,18.11.2019 21:07:26,Microsoft-Windows-Kernel-Power,105,(100),Смена источника питания.
Сведения,18.11.2019 21:07:23,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,18.11.2019 21:07:23,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 5, FullResume: 783, AverageResume: 594"
Сведения,18.11.2019 21:07:21,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎11‎-‎18T15:07:24.888722600Z на ‎2019‎-‎11‎-‎18T18:07:21.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,18.11.2019 18:07:24,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,18.11.2019 18:07:21,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
