Уровень,Дата и время,Источник,Код события,Категория задачи
Сведения,04.12.2019 3:24:59,BTHUSB,18,Отсутствует,Система Windows не может сохранить коды проверки подлинности Bluetooth (ключи связи) на локальном адаптере. Клавиатуры Bluetooth могут не работать с BIOS компьютера во время загрузки.
Сведения,04.12.2019 3:24:58,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,04.12.2019 3:24:58,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 6, FullResume: 468, AverageResume: 468"
Сведения,04.12.2019 3:24:57,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎12‎-‎03T21:24:59.630044000Z на ‎2019‎-‎12‎-‎04T00:24:57.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,04.12.2019 0:24:59,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,04.12.2019 0:24:57,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,04.12.2019 0:24:57,BROWSER,8033,Отсутствует,"Драйвер браузера сети инициировал выборы в сети \Device\NetBT_Tcpip_{B3EC0A83-6DF2-4970-8219-EF7ED329EF6D}, так как был остановлен основной браузер сети."
Сведения,04.12.2019 0:24:25,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c} на {381b4222-f694-41f0-9685-ff5bb260df2e}
Сведения,04.12.2019 0:16:38,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,04.12.2019 0:14:33,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,04.12.2019 0:00:55,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-2395274981-4090271684-2922072255-1001\SystemAppData\Helium\UserClasses.dat очищен; обновлено разделов: 1; создано измененных страниц: 1.
Сведения,04.12.2019 0:00:55,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-2395274981-4090271684-2922072255-1001\SystemAppData\Helium\User.dat очищен; обновлено разделов: 1; создано измененных страниц: 1.
Сведения,04.12.2019 0:00:54,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\Users\trainer\AppData\Local\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 3; создано измененных страниц: 1.
Сведения,03.12.2019 23:35:48,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {381b4222-f694-41f0-9685-ff5bb260df2e} на {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c}
Сведения,03.12.2019 23:28:45,Microsoft-Windows-Kernel-Power,105,(100),Смена источника питания.
Предупреждение,03.12.2019 23:28:36,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени wpad истекло после отсутствия ответа от настроенных серверов DNS.
Сведения,03.12.2019 23:28:32,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎12‎-‎03T20:21:15.293783500Z
Время выхода из спящего режима: ‎2019‎-‎12‎-‎03T20:28:31.574762400Z

Источник выхода: Кнопка питания"
Предупреждение,03.12.2019 23:28:31,BTHUSB,34,Отсутствует,"Локальный адаптер не поддерживает важное состояние контроллера энергосбережения для поддержки режима периферийного устройства. Минимально необходимая маска поддерживаемого состояния — 0x2491f7fffff, получено 0xffffffff. Функция роли периферийного устройства низкого энергопотребления не будет доступна."
